Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,NY,10024,NEW YORK,8.8750,NY Tax,1,0,1,
US,NY,10024,WASHINGTON,8.8750,NY Tax,1,0,1,
US,CA,94172,SF,8.5000,CA Tax,1,0,0,
US,CA,94063,REDWOOD CITY,8.7500,CA Tax,1,0,0,
US,CA,90210,TEST,9.5000,CA Tax,1,0,0,
US,CA,94062,REDWOOD CITY,8.7500,CA Tax,1,0,0,
US,CA,94103,SAN FRANCISCO,8.5000,CA Tax,1,0,0,
US,CA,94103,RED,8.5000,CA Tax,1,0,0,
US,CA,94103,REDWOOD CITY,8.5000,CA Tax,1,0,0,
US,CA,94063,NEW YORK,8.7500,CA Tax,1,0,0,
US,CA,94110,SAN FRANCISCO,8.5000,CA Tax,1,0,0,
US,CA,94063,CONVENTION WAY,8.7500,CA Tax,1,0,0,
US,CA,92705,SAN FRANCISCO,7.7500,CA Tax,1,0,0,
US,CA,94110,NASHVILLE,8.5000,CA Tax,1,0,0,
US,CA,94063,94063,8.7500,CA Tax,1,0,0,
US,CA,94066,WHAT,8.7500,CA Tax,1,0,0,
US,CA,94105,LAS VEGAS,8.5000,CA Tax,1,0,0,
US,CA,94063,SAN FRANCISCO,8.7500,CA Tax,1,0,0,
US,CA,94063,SAN FRANCISCO,8.7500,CA Tax,1,0,0,
US,CA,94105,SAN FRANCISCO,8.5000,CA Tax,1,0,0,
US,CA,94105,REDWOOD CITY,8.5000,CA Tax,1,0,0,
US,CA,94105,REDWOOD CITY,8.5000,CA Tax,1,0,0,
US,CA,94105,SF,8.5000,CA Tax,1,0,0,
US,CA,94002,REDWOOD CITY,9.2500,CA Tax,1,0,0,
US,CA,91001,MOAB,9.5000,CA Tax,1,0,0,
US,CA,90001,LOS ANGELES,9.5000,CA Tax,1,0,0,
US,CA,94064,REDWOOD CITY,8.7500,CA Tax,1,0,0,
